"";"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
"66";66;-1,52306639599772;0,519669453922837;-1,53281598433361;2,13064965279777;0,658993946948183;0,219332562651164;0,0283345629496514;0,307777614161272;0,110925320120581;0,0260100783131241;"ignorable";"MAR"
"67";67;-1,38651557650803;0,510605568757189;-1,42651037143844;2,16149012183631;0,737701184679422;0,224426137358348;0,0332126861987028;0,314507509345206;0,114352679611346;0,0303934683650737;"ignorable";"MAR"
"68";68;-1,60793953096251;0,472989648805436;-1,04434125655516;2,15458316140367;0,750396143565628;0,223887338792047;0,0316328603346775;0,31328050634958;0,114294000190474;0,030434926794184;"ignorable";"MAR"
"69";69;-1,08631624492342;0,537764502960143;-1,22737731734602;2,27406215658721;0,689621834267057;0,234080968071436;0,0287656602154564;0,328122749360134;0,118613544123037;0,0270759403680546;"ignorable";"MAR"
"70";70;-1,47536722709396;0,465611761681146;-1,29831868885821;2,21657125782057;0,737859572697372;0,229536277542073;0,0312212752322177;0,32126875279719;0,116514709645647;0,029399834006383;"ignorable";"MAR"
"71";71;-1,76979824305466;0,498054443842171;-0,867761576957045;2,19171366901047;0,742013765339401;0,227429589934163;0,0323434479282637;0,318261709541005;0,115544623710309;0,0303302155746157;"ignorable";"MAR"
"72";72;-1,31430593164253;0,531207182095215;-1,34975999625012;2,32118095442282;0,672735328109379;0,238354938486965;0,0289162362024414;0,334632951118422;0,120583489504499;0,0272719400785308;"ignorable";"MAR"
"73";73;-0,80944974883355;0,493387700763276;-1,98887468537797;2,35457858924072;0,659874540472251;0,241558734145811;0,0287035082490164;0,33924886779404;0,122092990285423;0,0266959143467203;"ignorable";"MAR"
"74";74;-1,06818795869849;0,547724103953256;-1,5708518353557;2,29968486145772;0,691917461227803;0,236495984322612;0,0300506458897443;0,331886415508355;0,11958249900153;0,0274068131723455;"ignorable";"MAR"
"75";75;-0,930058669428367;0,51608399077849;-1,99064497989345;2,21044977125533;0,705319662954134;0,228230544188309;0,029532689283849;0,319779364685803;0,115606184623934;0,0283544086379987;"ignorable";"MAR"
"76";76;-1,13057138269871;0,552393008694087;-1,1117729098426;2,29208128055164;0,652277520127233;0,235224606540115;0,0276599750066214;0,330285389143997;0,118956172285023;0,0258950369122232;"ignorable";"MAR"
"77";77;-1,12134301479178;0,491402026356201;-1,38301329711476;2,23856794522211;0,740710236888037;0,231365399612556;0,0307868814838027;0,324082137276236;0,117134303921535;0,0283325330811886;"ignorable";"MAR"
"78";78;-1,21636769779081;0,549701953822531;-1,51027988334284;2,29552961762801;0,691314409313632;0,235971755027065;0,0303333954444747;0,331369259143756;0,119699911864392;0,02777156265709;"ignorable";"MAR"
"79";79;-0,812270421296617;0,519316509522695;-1,71878463851952;2,22304564291008;0,706394761938177;0,229951708053299;0,0319701662978764;0,322450640264098;0,116997028546096;0,0303364870282858;"ignorable";"MAR"
"80";80;-1,2435596917933;0,457114403995946;-1,41838316293509;2,305012309516;0,65580390290993;0,236440657501344;0,0285923146582556;0,332105826118793;0,119650281715543;0,0259603847061645;"ignorable";"MAR"
"81";81;-0,728350884886147;0,514794706347145;-1,76081174285338;2,30272463498087;0,71033531228057;0,237338342236438;0,0301164535970284;0,332857448796961;0,120336850195383;0,0286637490190008;"ignorable";"MAR"
"82";82;-1,42042353439406;0,485515329114252;-0,804473401436463;2,22949776164238;0,720570677633948;0,230327329180034;0,030425941306725;0,322949493449397;0,117013802566403;0,0290305406762148;"ignorable";"MAR"
"83";83;-1,69169191704363;0,568453414937595;-0,967684405093041;2,19392000063975;0,707767399083635;0,226649717076737;0,0301167253619497;0,317858440449237;0,115069700685338;0,0286818191459423;"ignorable";"MAR"
"84";84;-1,53161345367759;0,552177460541029;-1,3709427624514;2,22262919961553;0,694854530298673;0,229315187787301;0,0300928207358239;0,321558219167146;0,116496143533854;0,0278345058814177;"ignorable";"MAR"
