"";"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
"394";32;-1,12354455784035;0,511099495103209;-1,47142108756565;2,25851242050756;0,679707427916246;0,0545697838968898;0,00106511245618119;0,107851421070598;0,12001846825582;0,0273074398632201;"ignorable";"MNAR"
"395";32;-1,07951477355349;0,478403224193288;-1,51617875195167;2,2860730761828;0,678558151787036;0,0533621755029565;0,0277740976179766;0,061473715184651;0,114444111259242;0,0212071750378888;"spm";"MNAR"
"396";32;-1,04284655322864;0,469281448522292;-1,45523859803249;0,455828500503989;0,687139396978053;0,0540369873727608;0,0281253337628938;0,0622511116883423;0,0227912829535206;0,0214727798467037;"spm+class";"MNAR"
"397";33;-1,31701480676692;0,577589278574617;-1,36184607250047;2,33294721193177;0,666881840527826;0,0579432256926893;0,00102188282398536;0,114564596072323;0,123314063480192;0,0266497483983925;"ignorable";"MNAR"
"398";33;-1,31756183370988;0,54138383672525;-1,34845513996562;2,36050959255684;0,666994731440155;0,052941897630077;0,0270678132550008;0,0604973128256133;0,118125184328223;0,0207654288982384;"spm";"MNAR"
"399";33;-1,12311627599661;0,529606513253685;-1,48490211683736;0,47673730093856;0,67010177930053;0,0531884893896329;0,0271938868657502;0,0607791222702187;0,0238358220650491;0,0208791514488956;"spm+class";"MNAR"
"400";34;-1,24760423043645;0,53120052982199;-1,00699606294708;2,18234152028748;0,72182177096993;0,0517101506793161;0,00113683376426633;0,1017215498417;0,116980602439727;0,0279754251627055;"ignorable";"MNAR"
"401";34;-1,20587073635424;0,489952254247897;-1,06165069272722;2,21644811699517;0,725488662103532;0,0574389090917733;0,0294328536822432;0,0655189818781413;0,110785630622928;0,0221831458261434;"spm";"MNAR"
"402";34;-1,03933154703624;0,485674323724043;-1,49847673871554;0,561758150009399;0,726391963259512;0,0575104244434816;0,0294695001644311;0,0656005573723752;0,0280870777840258;0,0222087801717159;"spm+class";"MNAR"
"403";35;-1,44157618481418;0,537515712453461;-1,25873876734545;2,28394061916766;0,680076615838412;0,0558616720670986;0,00113110054215748;0,110384788408207;0,121065033607211;0,0280449398112879;"ignorable";"MNAR"
"404";35;-1,34014539639468;0,490072753880677;-1,31717765748931;2,31860938827013;0,680710311120564;0,0544195926047427;0,028329305313207;0,0628027684896249;0,115952306306261;0,0216280266128478;"spm";"MNAR"
"405";35;-1,3044050523557;0,485775890607263;-1,32142946680384;0,547431690536448;0,69304314252679;0,0554055422412911;0,0288425633205465;0,063940600047186;0,0273710456359812;0,0220263415547975;"spm+class";"MNAR"
"406";36;-1,1092870561162;0,519266408063243;-1,55587324335884;2,32071377149418;0,704120419915537;0,0576436983912694;0,00114189100980782;0,113817325814192;0,122983168759956;0,0279325500563532;"ignorable";"MNAR"
"407";36;-1,07867054827298;0,472011644743138;-1,56068417355333;2,35000751492358;0,707056065665509;0,0552471602256653;0,028928171111999;0,0631317627842898;0,117439168693369;0,0219461240080604;"spm";"MNAR"
"408";36;-1,14448818489732;0,4584803746892;-1,48580333397812;0,538204026873207;0,71660480574789;0,0559932680506393;0,0293188431609238;0,0639843398855969;0,0269099979122;0,022242435746449;"spm+class";"MNAR"
"409";37;-0,938061320506323;0,55816073977369;-1,67027171459018;2,40593364531477;0,693372420272012;0,0615325703456606;0,000983571828758672;0,121560457510258;0,127245016711441;0,026667029025472;"ignorable";"MNAR"
"410";37;-0,918308563620515;0,515082072627507;-1,70173074162126;2,45248162325107;0,688128126287841;0,0535433149102147;0,0270244026883887;0,0604222324657029;0,122458547473337;0,0209189517031093;"spm";"MNAR"
"411";37;-1,26002002993179;0,513298934214264;-1,5050994272773;0,640004966634176;0,695379014065167;0,0541075049101;0,0273091595791287;0,0610589046188705;0,0319984794525384;0,0211398745345682;"spm+class";"MNAR"
"412";38;-1,36579826179197;0,568550429239835;-1,57031626816325;2,22015225674146;0,702934614431844;0,0531783019651867;0,00124670640933446;0,104948572837959;0,118463101779431;0,0288572311272809;"ignorable";"MNAR"
"413";38;-1,32573303902696;0,528112448126413;-1,57315155910529;2,25769770273899;0,691213062329567;0,0549579728050389;0,0294400712410289;0,0640666747775352;0,11289560623044;0,0219046919406287;"spm";"MNAR"
"414";38;-1,21144817462536;0,525845881503782;-1,4002260642486;0,525526761470457;0,683825335359314;0,0543705786665797;0,0291254072313506;0,0633819265837761;0,0262773327433351;0,021664377521698;"spm+class";"MNAR"
"415";39;-0,782341287385307;0,558120374240545;-2,08403718480555;2,25650975699836;0,690185016909397;0,0544308838293378;0,00107784429272564;0,107434468740395;0,119968586956423;0,0270649791127678;"ignorable";"MNAR"
"416";39;-0,776341610866877;0,510053561253106;-2,0957241531396;2,30040226925892;0,687078885528169;0,0530619733277949;0,0279891552881011;0,0602319490004233;0,114886051644144;0,021142762223191;"spm";"MNAR"
"417";39;-1,37289594562341;0,501546655719565;-1,3385219188823;0,564194693746462;0,690067621371712;0,0532927887101844;0,0281109058028791;0,0604939452101372;0,0282120975968783;0,0212343569055469;"spm+class";"MNAR"
"418";40;-1,04576395082181;0,53578128794374;-1,47661353294311;2,34349118648854;0,72313090711566;0,0589425056049012;0,00111923367585463;0,116241961563945;0,124711367398149;0,0283359343585511;"ignorable";"MNAR"
"419";40;-1,0200764214589;0,498795157889436;-1,57681404978581;2,36794308282073;0,724786659326532;0,0568557958600919;0,0288962521037779;0,0645414056288066;0,118405203434172;0,0223104859166386;"spm";"MNAR"
"420";40;-1,21148164713891;0,487805006330612;-1,56301294470092;0,417363699786742;0,714864090379203;0,0560774212017457;0,0285006524814976;0,0636578116439214;0,0208687002174123;0,0219979540719353;"spm+class";"MNAR"
"421";41;-1,04833271431625;0,591994715927734;-1,75433068802184;2,32255132622832;0,673577991486341;0,057416245415472;0,00100980067773989;0,113501007975681;0,122941998790155;0,0264026244632208;"ignorable";"MNAR"
"422";41;-1,00734454196574;0,554115529298312;-1,81379352160153;2,34528685453692;0,669349189850645;0,0521169926196836;0,0269054367568527;0,0594807613066814;0,117390630024717;0,0206006355780892;"spm";"MNAR"
"423";41;-0,809507069798022;0,556329549892455;-1,67085894109001;0,345973264512655;0,703817297062475;0,0548007523825083;0,0282909298130996;0,0625437135263758;0,0172978964086814;0,0216583641921326;"spm+class";"MNAR"
"424";42;-1,20794684069938;0,552671468972989;-1,49737312072218;2,30545743208666;0,752401121256264;0,0575759639811595;0,00134725850322786;0,113635223154652;0,123877739773476;0,0308722018819715;"ignorable";"MNAR"
